,task,start,end
258,粘接预装台位29号,5352,5353
259,进车台位1号,5397,5398
260,粘接预装台位29号,5421,5422
261,进车台位1号,5421,5423
262,粘接预装台位33号,5446,5447
263,进车台位1号,5445,5448
264,粘接预装台位29号,5471,5472
265,粘接预装台位33号,5496,5497
266,进车台位1号,5541,5542
267,粘接预装台位33号,5565,5566
268,进车台位1号,5565,5567
269,粘接预装台位29号,5590,5591
270,进车台位1号,5589,5592
271,粘接预装台位33号,5615,5616
272,粘接预装台位29号,5640,5641
273,进车台位1号,5685,5686
274,粘接预装台位29号,5709,5710
275,进车台位1号,5709,5711
276,粘接预装台位33号,5734,5735
277,进车台位1号,5733,5736
278,粘接预装台位29号,5759,5760
279,粘接预装台位33号,5784,5785
280,进车台位1号,5829,5830
281,粘接预装台位33号,5853,5854
282,进车台位1号,5853,5855
283,粘接预装台位29号,5878,5879
284,进车台位1号,5877,5880
285,粘接预装台位33号,5903,5904
286,粘接预装台位29号,5928,5929
287,进车台位1号,5973,5974
288,粘接预装台位29号,5997,5998
289,进车台位1号,5997,5999
290,粘接预装台位33号,6022,6023
291,进车台位1号,6021,6024
292,粘接预装台位29号,6047,6048
293,粘接预装台位33号,6072,6073
294,进车台位1号,6117,6118
295,粘接预装台位33号,6141,6142
296,进车台位1号,6141,6143
297,粘接预装台位29号,6166,6167
298,进车台位1号,6165,6168
299,粘接预装台位33号,6191,6192
300,粘接预装台位29号,6216,6217
301,进车台位1号,6261,6262
302,粘接预装台位29号,6285,6286
303,进车台位1号,6285,6287
304,粘接预装台位33号,6310,6311
305,进车台位1号,6309,6312
306,粘接预装台位29号,6335,6336
307,粘接预装台位33号,6360,6361
308,进车台位1号,6405,6406
309,粘接预装台位33号,6429,6430
310,进车台位1号,6429,6431
311,粘接预装台位29号,6454,6455
312,进车台位1号,6453,6456
313,粘接预装台位33号,6479,6480
314,粘接预装台位29号,6504,6505
315,进车台位1号,6549,6550
316,粘接预装台位29号,6573,6574
317,进车台位1号,6573,6575
318,粘接预装台位33号,6598,6599
319,进车台位1号,6597,6600
320,粘接预装台位29号,6623,6624
321,粘接预装台位33号,6648,6649
322,进车台位1号,6693,6694
323,粘接预装台位33号,6717,6718
324,进车台位1号,6717,6719
325,粘接预装台位29号,6742,6743
326,进车台位1号,6741,6744
327,粘接预装台位33号,6767,6768
328,粘接预装台位29号,6792,6793
329,进车台位1号,6837,6838
330,粘接预装台位29号,6861,6862
331,进车台位1号,6861,6863
332,粘接预装台位33号,6886,6887
333,进车台位1号,6885,6888
334,粘接预装台位29号,6911,6912
335,粘接预装台位33号,6936,6937
336,进车台位1号,6981,6982
337,粘接预装台位33号,7005,7006
338,进车台位1号,7005,7007
339,粘接预装台位29号,7030,7031
340,进车台位1号,7029,7032
341,粘接预装台位33号,7055,7056
342,粘接预装台位29号,7080,7081
343,进车台位1号,7125,7126
344,粘接预装台位29号,7149,7150
345,进车台位1号,7149,7151
346,粘接预装台位33号,7174,7175
347,进车台位1号,7173,7176
348,粘接预装台位29号,7199,7200
349,粘接预装台位33号,7224,7225
350,进车台位1号,7269,7270
351,粘接预装台位33号,7293,7294
352,进车台位1号,7293,7295
353,粘接预装台位29号,7318,7319
354,进车台位1号,7317,7320
355,粘接预装台位33号,7343,7344
356,粘接预装台位29号,7368,7369
357,进车台位1号,7413,7414
358,粘接预装台位29号,7437,7438
359,进车台位1号,7437,7439
360,粘接预装台位33号,7462,7463
361,进车台位1号,7461,7464
362,粘接预装台位29号,7487,7488
363,粘接预装台位33号,7512,7513
364,进车台位1号,7557,7558
365,粘接预装台位33号,7581,7582
366,进车台位1号,7581,7583
367,粘接预装台位29号,7606,7607
368,进车台位1号,7605,7608
369,粘接预装台位33号,7631,7632
370,粘接预装台位29号,7656,7657
371,进车台位1号,7701,7702
372,粘接预装台位29号,7725,7726
373,进车台位1号,7725,7727
374,粘接预装台位33号,7750,7751
375,进车台位1号,7749,7752
376,粘接预装台位29号,7775,7776
377,粘接预装台位33号,7800,7801
378,进车台位1号,7845,7846
379,粘接预装台位33号,7869,7870
380,进车台位1号,7869,7871
381,粘接预装台位29号,7894,7895
382,进车台位1号,7893,7896
383,粘接预装台位33号,7919,7920
384,粘接预装台位29号,7944,7945
385,进车台位1号,7989,7990
386,粘接预装台位29号,8013,8014
387,进车台位1号,8013,8015
388,粘接预装台位33号,8038,8039
389,进车台位1号,8037,8040
390,粘接预装台位29号,8063,8064
391,粘接预装台位33号,8088,8089
392,进车台位1号,8133,8134
393,粘接预装台位33号,8157,8158
394,进车台位1号,8157,8159
395,粘接预装台位29号,8182,8183
396,进车台位1号,8181,8184
397,粘接预装台位33号,8207,8208
398,粘接预装台位29号,8232,8233
399,进车台位1号,8277,8278
400,粘接预装台位29号,8301,8302
401,进车台位1号,8301,8303
402,粘接预装台位33号,8326,8327
403,进车台位1号,8325,8328
404,粘接预装台位29号,8351,8352
405,粘接预装台位33号,8376,8377
406,进车台位1号,8421,8422
407,粘接预装台位33号,8445,8446
408,进车台位1号,8445,8447
409,粘接预装台位29号,8470,8471
410,进车台位1号,8469,8472
411,粘接预装台位33号,8495,8496
412,粘接预装台位29号,8520,8521
413,进车台位1号,8565,8566
414,粘接预装台位29号,8589,8590
415,进车台位1号,8589,8591
416,粘接预装台位33号,8614,8615
417,进车台位1号,8613,8616
418,粘接预装台位29号,8639,8640
419,粘接预装台位33号,8664,8665
420,进车台位1号,8709,8710
421,粘接预装台位33号,8733,8734
422,进车台位1号,8733,8735
423,粘接预装台位29号,8758,8759
424,进车台位1号,8757,8760
425,粘接预装台位33号,8783,8784
426,粘接预装台位29号,8808,8809
427,进车台位1号,8853,8854
428,粘接预装台位29号,8877,8878
429,进车台位1号,8877,8879
430,粘接预装台位33号,8902,8903
431,进车台位1号,8901,8904
432,粘接预装台位29号,8927,8928
433,粘接预装台位33号,8952,8953
434,进车台位1号,8997,8998
435,粘接预装台位33号,9021,9022
436,进车台位1号,9021,9023
437,粘接预装台位29号,9046,9047
438,进车台位1号,9045,9048
439,粘接预装台位33号,9071,9072
440,粘接预装台位29号,9096,9097
441,进车台位1号,9141,9142
442,粘接预装台位29号,9165,9166
443,进车台位1号,9165,9167
444,粘接预装台位33号,9190,9191
445,进车台位1号,9189,9192
446,粘接预装台位29号,9215,9216
447,粘接预装台位33号,9240,9241
448,进车台位1号,9285,9286
449,粘接预装台位33号,9309,9310
450,进车台位1号,9309,9311
451,粘接预装台位29号,9334,9335
452,进车台位1号,9333,9336
453,粘接预装台位33号,9359,9360
454,粘接预装台位29号,9384,9385
455,进车台位1号,9429,9430
456,粘接预装台位29号,9453,9454
457,进车台位1号,9453,9455
458,粘接预装台位33号,9478,9479
459,进车台位1号,9477,9480
460,粘接预装台位29号,9503,9504
461,粘接预装台位33号,9528,9529
462,进车台位1号,9573,9574
463,粘接预装台位33号,9597,9598
464,进车台位1号,9597,9599
465,粘接预装台位29号,9622,9623
466,进车台位1号,9621,9624
467,粘接预装台位33号,9647,9648
468,粘接预装台位29号,9672,9673
469,进车台位1号,9717,9718
470,粘接预装台位29号,9741,9742
471,进车台位1号,9741,9743
472,粘接预装台位33号,9766,9767
473,进车台位1号,9765,9768
474,粘接预装台位29号,9791,9792
475,粘接预装台位33号,9816,9817
476,进车台位1号,9861,9862
477,粘接预装台位33号,9885,9886
478,进车台位1号,9885,9887
479,粘接预装台位29号,9910,9911
480,进车台位1号,9909,9912
481,粘接预装台位33号,9935,9936
482,粘接预装台位29号,9960,9961
483,进车台位1号,10005,10006
484,粘接预装台位29号,10029,10030
485,进车台位1号,10029,10031
486,粘接预装台位33号,10054,10055
487,进车台位1号,10053,10056
488,粘接预装台位29号,10079,10080
489,粘接预装台位33号,10104,10105
490,进车台位1号,10149,10150
491,粘接预装台位33号,10173,10174
492,进车台位1号,10173,10175
493,粘接预装台位29号,10198,10199
494,进车台位1号,10197,10200
495,粘接预装台位33号,10223,10224
496,粘接预装台位29号,10248,10249
497,进车台位1号,10293,10294
498,粘接预装台位29号,10317,10318
499,进车台位1号,10317,10319
500,粘接预装台位33号,10342,10343
501,进车台位1号,10341,10344
502,粘接预装台位29号,10367,10368
503,粘接预装台位33号,10392,10393
504,进车台位1号,10437,10438
505,粘接预装台位33号,10461,10462
506,进车台位1号,10461,10463
507,粘接预装台位29号,10486,10487
508,进车台位1号,10485,10488
509,粘接预装台位33号,10511,10512
510,粘接预装台位29号,10536,10537
511,进车台位1号,10581,10582
512,粘接预装台位29号,10605,10606
513,进车台位1号,10605,10607
514,粘接预装台位33号,10630,10631
515,进车台位1号,10629,10632
516,粘接预装台位29号,10655,10656
517,粘接预装台位33号,10680,10681
518,进车台位1号,10725,10726
519,粘接预装台位33号,10749,10750
520,进车台位1号,10749,10751
521,粘接预装台位29号,10774,10775
522,进车台位1号,10773,10776
523,粘接预装台位33号,10799,10800
524,粘接预装台位29号,10824,10825
525,进车台位1号,10869,10870
526,粘接预装台位29号,10893,10894
527,进车台位1号,10893,10895
528,粘接预装台位33号,10918,10919
529,进车台位1号,10917,10920
530,粘接预装台位29号,10943,10944
531,粘接预装台位33号,10968,10969
532,进车台位1号,11013,11014
533,粘接预装台位33号,11037,11038
534,进车台位1号,11037,11039
535,粘接预装台位29号,11062,11063
536,进车台位1号,11061,11064
537,粘接预装台位33号,11087,11088
538,粘接预装台位29号,11112,11113
539,进车台位1号,11157,11158
540,粘接预装台位29号,11181,11182
541,进车台位1号,11181,11183
542,粘接预装台位33号,11206,11207
543,进车台位1号,11205,11208
544,粘接预装台位29号,11231,11232
545,粘接预装台位33号,11256,11257
546,进车台位1号,11301,11302
547,粘接预装台位33号,11325,11326
548,进车台位1号,11325,11327
549,粘接预装台位29号,11350,11351
550,进车台位1号,11349,11352
551,粘接预装台位33号,11375,11376
552,粘接预装台位29号,11400,11401
553,进车台位1号,11445,11446
554,粘接预装台位29号,11469,11470
555,进车台位1号,11469,11471
556,粘接预装台位33号,11494,11495
557,进车台位1号,11493,11496
558,粘接预装台位29号,11519,11520
559,粘接预装台位33号,11544,11545
560,进车台位1号,11589,11590
561,粘接预装台位33号,11613,11614
562,进车台位1号,11613,11615
563,粘接预装台位29号,11638,11639
564,进车台位1号,11637,11640
565,粘接预装台位33号,11663,11664
566,粘接预装台位29号,11688,11689
567,进车台位1号,11733,11734
568,粘接预装台位29号,11757,11758
569,进车台位1号,11757,11759
570,粘接预装台位33号,11782,11783
571,进车台位1号,11781,11784
572,粘接预装台位29号,11807,11808
573,粘接预装台位33号,11832,11833
574,进车台位1号,11877,11878
575,粘接预装台位33号,11901,11902
576,进车台位1号,11901,11903
577,粘接预装台位29号,11926,11927
578,进车台位1号,11925,11928
579,粘接预装台位33号,11951,11952
580,粘接预装台位29号,11976,11977
581,进车台位1号,12021,12022
582,粘接预装台位29号,12045,12046
583,进车台位1号,12045,12047
584,粘接预装台位33号,12070,12071
585,进车台位1号,12069,12072
586,粘接预装台位29号,12095,12096
587,粘接预装台位33号,12120,12121
588,进车台位1号,12165,12166
589,粘接预装台位33号,12189,12190
590,进车台位1号,12189,12191
591,粘接预装台位29号,12214,12215
592,进车台位1号,12213,12216
593,粘接预装台位33号,12239,12240
594,粘接预装台位29号,12264,12265
595,进车台位1号,12309,12310
596,粘接预装台位29号,12333,12334
597,进车台位1号,12333,12335
598,粘接预装台位33号,12358,12359
599,进车台位1号,12357,12360
600,粘接预装台位29号,12383,12384
601,粘接预装台位33号,12408,12409
602,进车台位1号,12453,12454
603,粘接预装台位33号,12477,12478
604,进车台位1号,12477,12479
605,粘接预装台位29号,12502,12503
606,进车台位1号,12501,12504
607,粘接预装台位33号,12527,12528
608,粘接预装台位29号,12552,12553
609,进车台位1号,12597,12598
610,粘接预装台位29号,12621,12622
611,进车台位1号,12621,12623
612,粘接预装台位33号,12646,12647
613,进车台位1号,12645,12648
614,粘接预装台位29号,12671,12672
615,粘接预装台位33号,12696,12697
616,进车台位1号,12741,12742
617,粘接预装台位33号,12765,12766
618,进车台位1号,12765,12767
619,粘接预装台位29号,12790,12791
620,进车台位1号,12789,12792
621,粘接预装台位33号,12815,12816
622,粘接预装台位29号,12840,12841
623,进车台位1号,12885,12886
624,粘接预装台位29号,12909,12910
625,进车台位1号,12909,12911
626,粘接预装台位33号,12934,12935
627,进车台位1号,12933,12936
628,粘接预装台位29号,12959,12960
629,粘接预装台位33号,12984,12985
630,进车台位1号,13029,13030
631,粘接预装台位33号,13053,13054
632,进车台位1号,13053,13055
633,粘接预装台位29号,13078,13079
634,进车台位1号,13077,13080
635,粘接预装台位33号,13103,13104
636,粘接预装台位29号,13128,13129
637,进车台位1号,13173,13174
638,粘接预装台位29号,13197,13198
639,进车台位1号,13197,13199
640,粘接预装台位33号,13222,13223
641,进车台位1号,13221,13224
642,粘接预装台位29号,13247,13248
643,粘接预装台位33号,13272,13273
644,进车台位1号,13317,13318
645,粘接预装台位33号,13341,13342
646,进车台位1号,13341,13343
647,粘接预装台位29号,13366,13367
648,进车台位1号,13365,13368
649,粘接预装台位33号,13391,13392
650,粘接预装台位29号,13416,13417
651,进车台位1号,13461,13462
652,粘接预装台位29号,13485,13486
653,进车台位1号,13485,13487
654,粘接预装台位33号,13510,13511
655,进车台位1号,13509,13512
656,粘接预装台位29号,13535,13536
657,粘接预装台位33号,13560,13561
658,进车台位1号,13605,13606
659,粘接预装台位33号,13629,13630
660,进车台位1号,13629,13631
661,粘接预装台位29号,13654,13655
662,进车台位1号,13653,13656
663,粘接预装台位33号,13679,13680
664,粘接预装台位29号,13704,13705
665,进车台位1号,13749,13750
666,粘接预装台位29号,13773,13774
667,进车台位1号,13773,13775
668,粘接预装台位33号,13798,13799
669,进车台位1号,13797,13800
670,粘接预装台位29号,13823,13824
671,粘接预装台位33号,13848,13849
672,进车台位1号,13893,13894
673,粘接预装台位33号,13917,13918
674,进车台位1号,13917,13919
675,粘接预装台位29号,13942,13943
676,进车台位1号,13941,13944
677,粘接预装台位33号,13967,13968
678,粘接预装台位29号,13992,13993
679,进车台位1号,14037,14038
680,粘接预装台位29号,14061,14062
681,进车台位1号,14061,14063
682,粘接预装台位33号,14086,14087
683,进车台位1号,14085,14088
684,粘接预装台位29号,14111,14112
685,粘接预装台位33号,14136,14137
686,进车台位1号,14181,14182
687,粘接预装台位33号,14205,14206
688,进车台位1号,14205,14207
689,粘接预装台位29号,14230,14231
690,进车台位1号,14229,14232
691,粘接预装台位33号,14255,14256
692,粘接预装台位29号,14280,14281
693,进车台位1号,14325,14326
694,粘接预装台位29号,14349,14350
695,进车台位1号,14349,14351
696,粘接预装台位33号,14374,14375
697,进车台位1号,14373,14376
698,粘接预装台位29号,14399,14400
699,粘接预装台位33号,14424,14425
700,进车台位1号,14469,14470
701,粘接预装台位33号,14493,14494
702,进车台位1号,14493,14495
703,粘接预装台位29号,14518,14519
704,进车台位1号,14517,14520
705,粘接预装台位33号,14543,14544
706,粘接预装台位29号,14568,14569
707,进车台位1号,14613,14614
708,粘接预装台位29号,14637,14638
709,进车台位1号,14637,14639
710,粘接预装台位33号,14662,14663
711,进车台位1号,14661,14664
712,粘接预装台位29号,14687,14688
713,粘接预装台位33号,14712,14713
714,进车台位1号,14757,14758
715,粘接预装台位33号,14781,14782
716,进车台位1号,14781,14783
717,粘接预装台位29号,14806,14807
718,进车台位1号,14805,14808
719,粘接预装台位33号,14831,14832
720,粘接预装台位29号,14856,14857
721,进车台位1号,14901,14902
722,粘接预装台位29号,14925,14926
723,进车台位1号,14925,14927
724,粘接预装台位33号,14950,14951
725,进车台位1号,14949,14952
726,粘接预装台位29号,14975,14976
727,粘接预装台位33号,15000,15001
728,进车台位1号,15045,15046
729,粘接预装台位33号,15069,15070
730,进车台位1号,15069,15071
731,粘接预装台位29号,15094,15095
732,进车台位1号,15093,15096
