,task,start,end
296,粘接预装台位29号,5154,5156
297,进车台位1号,5157,5159
298,粘接预装台位33号,5179,5181
299,进车台位1号,5181,5184
300,粘接预装台位29号,5204,5206
301,粘接预装台位33号,5229,5233
302,模块化组装7号,5236,5237
303,普通组装2类(BC车)26号,5260,5261
304,粘接预装台位33号,5298,5299
305,进车台位1号,5301,5302
306,粘接预装台位29号,5322,5324
307,进车台位1号,5325,5327
308,粘接预装台位33号,5347,5349
309,进车台位1号,5349,5352
310,粘接预装台位29号,5372,5374
311,粘接预装台位33号,5397,5401
312,模块化组装7号,5404,5405
313,普通组装2类(BC车)16号,5428,5429
314,粘接预装台位33号,5466,5467
315,进车台位1号,5469,5470
316,粘接预装台位29号,5490,5492
317,进车台位1号,5493,5495
318,粘接预装台位33号,5515,5517
319,进车台位1号,5517,5520
320,粘接预装台位29号,5540,5542
321,粘接预装台位33号,5565,5569
322,模块化组装7号,5572,5573
323,普通组装2类(BC车)23号,5596,5597
324,粘接预装台位33号,5634,5635
325,进车台位1号,5637,5638
326,粘接预装台位29号,5658,5660
327,进车台位1号,5661,5663
328,粘接预装台位33号,5683,5685
329,进车台位1号,5685,5688
330,粘接预装台位29号,5708,5710
331,粘接预装台位33号,5733,5737
332,模块化组装7号,5740,5741
333,普通组装2类(BC车)35号,5764,5765
334,粘接预装台位33号,5802,5803
335,进车台位1号,5805,5806
336,粘接预装台位29号,5826,5828
337,进车台位1号,5829,5831
338,粘接预装台位33号,5851,5853
339,进车台位1号,5853,5856
340,粘接预装台位29号,5876,5878
341,粘接预装台位33号,5901,5905
342,模块化组装7号,5908,5909
343,普通组装2类(BC车)18号,5932,5933
344,粘接预装台位33号,5970,5971
345,进车台位1号,5973,5974
346,粘接预装台位29号,5994,5996
347,进车台位1号,5997,5999
348,粘接预装台位33号,6019,6021
349,进车台位1号,6021,6024
350,粘接预装台位29号,6044,6046
351,粘接预装台位33号,6069,6073
352,模块化组装7号,6076,6077
353,普通组装2类(BC车)24号,6100,6101
354,粘接预装台位33号,6138,6139
355,进车台位1号,6141,6142
356,粘接预装台位29号,6162,6164
357,进车台位1号,6165,6167
358,粘接预装台位33号,6187,6189
359,进车台位1号,6189,6192
360,粘接预装台位29号,6212,6214
361,粘接预装台位33号,6237,6241
362,模块化组装7号,6244,6245
363,普通组装2类(BC车)12号,6268,6269
364,粘接预装台位33号,6306,6307
365,进车台位1号,6309,6310
366,粘接预装台位29号,6330,6332
367,进车台位1号,6333,6335
368,粘接预装台位33号,6355,6357
369,进车台位1号,6357,6360
370,粘接预装台位29号,6380,6382
